关键词,分类,含义,示例
? (ac),,NSAID（乙酸衍生物）,溴芬酸；右旋美托拉克
? (adol),,混合阿片受体激动剂/拮抗剂,左炔诺醇；螺环素；他扎多林
? (afil),,具有血管扩张作用的PDE5抑制剂,西地那非（伟哥）；他达拉非
? (alol),,组合的α和β受体阻滞剂,拉贝洛尔；美沙洛尔
? (andr),,雄激素,19-去甲睾酮
? (anib),,血管生成抑制剂（抑制新血管的生长）,帕唑帕尼；万得他尼
? (anserin),,5-羟色胺5-HT（sub）2受体拮抗剂,丹参；肌钙蛋白
? (arabine),,抗肿瘤药（阿拉伯呋喃糖基衍生物）,氟达拉滨
? (ase),,酵素,葡糖苷酶；阿尔法酶
? (atadine),,三环抗哮喘药,奥洛他定；氯雷他定
? (axine),,抗焦虑，抗抑郁药,文拉法辛
? (azenil),,苯二氮杂receptor受体激动剂/拮抗剂,溴他尼；氟马西尼
? (azepam),,抗焦虑药（地西p型）,劳拉西泮；地西泮
? (azepide),,胆囊收缩素受体拮抗剂,达沙肽
? (azocine),,麻醉剂拮抗剂/激动剂,四唑嗪；酮咯嗪
? (azoline),,抗组胺药/局部血管收缩药,安他唑啉
? (azosin),,降压药（普拉唑嗪型）,多沙唑嗪
? (bactam),,β-内酰胺酶抑制剂,舒巴坦
? (bamate),,镇静剂/抗精神病药,丙氨酯；氟苯甲酸酯
? (barb),,巴比妥酸衍生物,苯巴比妥；司可巴比妥
? (bersat),,抗惊厥药；抗偏头痛,carabersat浪潮
? (bol),,合成代谢类固醇,勃雄二醇；米勃龙
? (bufen),,NSAID（芬布芬衍生物）,吲哚布芬
? (butan),,防腐剂,达帕布坦；罗布丹
? (butazone),,抗炎镇痛药（苯丁氮酮类）,莫非丁酮
? (caine),,局麻药,利多卡因；地布卡因
? (carbef),,抗生素（乙草胺衍生物）,劳拉卡培
? (cef),,头孢菌素（第一代）,头孢唑林
? (cillin),,青霉素,氨苄青霉素；青霉素；苯唑西林
? (cog),,凝血因子,依帕他克·阿尔法；诺阿科格·阿尔法；八角星阿尔法
? (conazole),,抗真菌药（咪康唑型）,氟康唑；奥西康唑
? (cort),,可的松衍生物,氢羟肾上腺皮质素
? (curium),,神经肌肉阻滞剂,阿曲库铵
? (cycline),,抗生素（四环素类）,米诺环素；四环霉素
? (dralazine),,降压药（肼-酞嗪类）,肼屈嗪
? (dronate),,钙代谢调节剂,羟基乙叉二膦酸；替罗膦酸盐
? (ectin),,抗寄生虫药（伊维菌素类）,多拉菌素；莫西菌素
? (erg),,麦角生物碱衍生物,培高利特
? (estr),,雌激素,雌酮
? (etanide),,利尿剂,布美他尼
? (fenamic acid),,抗炎药,甲芬那酸；氟芬那酸
? (fentanil),,麻醉止痛药,阿芬太尼；米芬太尼
? (fibrate),,抗高血脂药,苯扎贝特
? (flurane),,吸入麻醉药,恩氟醚；异氟醚
? (gest),,孕激素,孕酮
? (giline),,B型MAO抑制剂,司来吉兰
? (gillin),,抗生素（曲霉菌）,米托吉林
? (gliptin),,降糖药,维格列汀
? (glitazar),,抗高血糖药，PPRA激动剂,Farglitazar
? (glizatone),,抗高血糖药，PPST激动剂,西格列酮；罗格列酮
? (grel),,血小板凝集抑制剂,氯吡格雷；替格瑞洛
? (imex),,免疫刺激剂,芬尼美；罗喹美
? (imus),,免疫抑制剂,他克莫司；pi；猴
? (irudin),,抗凝剂,水蛭素
? (leukin),,白介素–2衍生物,Teceleukin；白细胞介素-2
? (lukast),,白三烯拮抗剂,孟鲁司特；扎鲁司特
? (mab),,单克隆抗体,Capromab；达珠单抗；地瘤
? (mantadine),,抗病毒药,金刚乙胺
? (milast),,抗哮喘药/抗过敏药； IV型磷酸二酯酶抑制剂,匹拉米司
? (monam),,单bactam抗生素,格罗昔康
? (mustine),,抗肿瘤药,卡莫斯汀
? (mycin),,抗生素（链霉菌菌株）,林可霉素
? (olol),,β受体阻滞剂（普萘洛尔型）,噻吗洛尔；阿替洛尔
? (olone),,类固醇（无泼尼松衍生物）,米沙酮
? (orphan),,麻醉剂拮抗剂/激动剂,美洛芬；右啡烷
? (oxacin),,抗生素（喹诺酮衍生物）,地氟沙星；环丙沙星
? (oxetine),,抗抑郁药,度洛西汀；瑞波西汀
? (pamide),,利尿剂（氨磺酰基苯甲酸衍生物）,己二酰胺
? (pamil),,冠状血管扩张剂,tiapamil
? (parin),,肝素衍生物,肝素；替扎肝素；达肝素
? (peridol),,抗精神病药（氟哌啶醇型）,氟哌啶醇
? (peridone),,抗精神病药（利培酮类）,利培酮；哌啶酮
? (pidem),,催眠药/镇静剂（zolpidem）,唑吡坦；毒pid
? (piridine),,认知增强剂,亚油苷；贝西吡啶
? (poetin),,促红细胞生成素,埃泊汀；依泊汀β
? (pramine),,抗抑郁药（丙咪嗪类）,洛非拉明
? (prazole),,质子泵抑制剂,奥美拉唑；兰索拉唑
? (pred),,泼尼松衍生物,泼尼卡酯；氯丁泼尼
? (pril),,降压药（ACE抑制剂）,卡托普利；替莫卡普利；螺哌普利
? (profen),,抗炎/止痛药（布洛芬型）,氟比洛芬
? (prost),,前列腺素类似物,拉坦前列素；unoprostone
? (rubicin),,抗肿瘤抗生素（柔红霉素型）,表柔比星；伊达比星
? (sartan),,血管紧张素II受体拮抗剂,氯沙坦；依普罗沙坦
? (statin),,肾脱氢肽酶抑制剂胃蛋白酶抑制剂,西司他丁；胃抑素
? (ster),,类固醇（雄激素，合成代谢类）,睾酮
? (sulfa),,抗生素（磺酰胺衍生物）,柳氮磺胺吡啶
? (tegrast),,抗哮喘药/抗过敏药；整联蛋白拮抗剂,瓦拉格斯特
? (terol),,支气管扩张药（苯乙胺衍生物）,沙丁胺醇
? (thiazide),,利尿剂（噻嗪类衍生物）,氯噻嗪
? (tide),,肽和糖肽,奈西立肽；奥曲肽
? (tocin),,催产素衍生物,催产素；催产素 (药物)
? (trexate),,抗代谢物（叶酸衍生物）,氨甲蝶呤
? (triptyline),,抗抑郁药,阿米替林
? (trodast),,抗哮喘药/抗过敏药；血栓烷A2受体拮抗剂,塞来司特
? (uracil),,尿嘧啶衍生物用作甲状腺拮抗剂和抗肿瘤药,5-氟尿嘧啶
